order_id,customer_id,order_timestamp,order_date,city,customer_type,customer_tenure_days,previous_orders,prior_cancellations,email_verified,traffic_source,device_type,session_duration_minutes,pages_viewed,cart_items,product,category,quantity,unit_price,discount_percent,coupon_code,shipping_fee,delivery_distance_km,estimated_delivery_days,payment_method,gross_amount,discount_amount,total_amount,order_status,actual_delivery_days,customer_rating
52,10372,2024-05-22 06:44:29,2024-05-22,Port Harcourt,Returning,753,3,0,True,Social Media,Mobile,13.6,8,5,Hoodie,Fashion,2,20700.0,5,FLASH15,1900.0,24.8,4,Card,41400.0,2070.0,41230.0,Delivered,5.0,4.0
53,13569,2024-09-23 00:22:02,2024-09-23,Lagos,New,72,0,0,True,Organic,Mobile,12.7,11,6,Gym Bag,Sports & Fitness,5,25000.0,5,FLASH15,2400.0,30.6,4,Card,125000.0,6250.0,121150.0,Delivered,3.0,4.0
54,12207,2024-12-07 04:09:11,2024-12-07,Lagos,New,54,1,0,True,Social Media,Mobile,14.9,9,1,Desk Lamp,Home & Kitchen,1,17100.0,5,SAVE5,1600.0,12.9,3,Bank Transfer,17100.0,855.0,17845.0,Cancelled,,
55,10057,2024-12-29 21:15:16,2024-12-29,Ilorin,Returning,450,5,0,True,Organic,Desktop,9.0,8,2,T-Shirt,Fashion,1,9600.0,25,WEEKEND20,2400.0,35.9,4,Cash on Delivery,9600.0,2400.0,9600.0,Delivered,6.0,4.0
56,13709,2024-02-02 00:29:35,2024-02-02,Lagos,Returning,206,3,0,True,Organic,Mobile,13.3,8,3,Storage Rack,Home & Kitchen,1,44000.0,25,SAVE5,1800.0,16.4,3,Bank Transfer,44000.0,11000.0,34800.0,Cancelled,,
57,13280,2025-02-03 13:00:54,2025-02-03,Benin City,New,38,0,0,True,Social Media,Mobile,8.5,4,5,Hoodie,Fashion,5,21000.0,10,FLASH15,1400.0,12.9,3,Bank Transfer,105000.0,10500.0,95900.0,Cancelled,,
58,13594,2024-04-22 18:51:17,2024-04-22,Lagos,New,50,0,0,True,Paid Search,Desktop,10.0,8,4,Resistance Bands,Sports & Fitness,2,10400.0,10,WEEKEND20,2600.0,33.9,4,Wallet,20800.0,2080.0,21320.0,Delivered,4.0,5.0
59,10817,2025-06-27 09:47:12,2025-06-27,Lagos,Returning,583,7,2,False,Referral,Mobile,7.1,8,4,Body Lotion,Beauty & Personal Care,4,8300.0,10,SAVE10,2300.0,28.1,5,Bank Transfer,33200.0,3320.0,32180.0,Delivered,4.0,4.0
60,14375,2025-05-14 07:24:38,2025-05-14,Benin City,New,65,0,0,True,Organic,Mobile,13.2,11,2,Bluetooth Speaker,Electronics,1,27200.0,0,,2100.0,29.9,5,Card,27200.0,0.0,29300.0,Cancelled,,
61,10902,2025-11-05 08:49:41,2025-11-05,Ilorin,Returning,431,9,0,True,Referral,Desktop,16.9,11,3,Phone Charger,Electronics,3,13100.0,5,WEEKEND20,1700.0,20.7,3,Card,39300.0,1965.0,39035.0,Delivered,3.0,5.0
62,12855,2025-06-28 10:06:25,2025-06-28,Lagos,New,59,0,0,True,Organic,Mobile,8.1,9,5,Power Bank,Electronics,2,19000.0,30,SAVE10,1800.0,17.5,5,Wallet,38000.0,11400.0,28400.0,Delivered,5.0,4.0
63,12795,2024-09-25 00:22:43,2024-09-25,Lagos,New,89,1,0,True,Organic,Mobile,8.1,6,1,Laptop Stand,Electronics,1,33300.0,10,WEEKEND20,1900.0,18.2,4,Card,33300.0,3330.0,31870.0,Delivered,4.0,5.0
64,11094,2025-12-08 05:59:25,2025-12-08,Kano,Returning,783,8,0,True,Organic,Mobile,2.6,6,2,Desk Lamp,Home & Kitchen,2,14800.0,0,,2200.0,31.9,4,Bank Transfer,29600.0,0.0,31800.0,Cancelled,,
65,11878,2024-10-27 07:57:30,2024-10-27,Port Harcourt,Returning,490,6,0,True,Organic,Mobile,20.3,7,1,Laptop Stand,Electronics,1,36900.0,15,MEGA30,2300.0,33.8,4,Cash on Delivery,36900.0,5535.0,33665.0,Cancelled,,
66,10261,2024-08-26 04:16:47,2024-08-26,Abuja,New,86,1,0,True,Paid Search,Desktop,2.4,4,5,Hair Dryer,Beauty & Personal Care,2,27200.0,15,FLASH15,2300.0,34.4,5,Card,54400.0,8160.0,48540.0,Cancelled,,
67,12357,2025-10-23 22:43:09,2025-10-23,Lagos,Returning,214,14,0,True,Organic,Desktop,50.5,11,4,Air Fryer,Home & Kitchen,2,69900.0,10,MEGA30,1800.0,16.8,3,Card,139800.0,13980.0,127620.0,Delivered,3.0,4.0
68,13386,2024-09-27 19:20:41,2024-09-27,Ilorin,New,89,0,0,True,Paid Search,Mobile,3.6,4,3,Smart Watch,Electronics,2,46000.0,20,SAVE5,2000.0,26.6,5,Cash on Delivery,92000.0,18400.0,75600.0,Cancelled,,
69,11545,2024-02-25 19:21:53,2024-02-25,Lagos,Returning,723,3,0,True,Paid Search,Mobile,6.9,7,6,Smart Watch,Electronics,3,38400.0,15,SAVE10,1500.0,9.4,3,Wallet,115200.0,17280.0,99420.0,Cancelled,,
70,12689,2024-12-09 05:53:13,2024-12-09,Lagos,Returning,257,2,0,True,Social Media,Mobile,15.8,10,5,Bluetooth Speaker,Electronics,2,30400.0,20,SAVE5,2000.0,21.0,3,Card,60800.0,12160.0,50640.0,Delivered,2.0,4.0
71,14768,2025-08-04 15:24:33,2025-08-04,Abuja,New,90,0,0,True,Referral,Desktop,10.2,6,5,Air Fryer,Home & Kitchen,2,78100.0,0,,1200.0,9.1,3,Wallet,156200.0,0.0,157400.0,Delivered,4.0,5.0
72,11174,2024-05-18 12:05:07,2024-05-18,Lagos,Returning,195,14,0,True,Social Media,Mobile,4.0,10,6,Cookware Set,Home & Kitchen,3,68300.0,20,SAVE5,1500.0,9.4,4,Bank Transfer,204900.0,40980.0,165420.0,Delivered,6.0,4.0
73,11454,2024-12-04 09:49:45,2024-12-04,Port Harcourt,New,74,0,0,True,Paid Search,Desktop,32.9,10,2,Running Shoes,Fashion,1,30300.0,25,MEGA30,1900.0,23.4,4,Card,30300.0,7575.0,24625.0,Delivered,6.0,4.0
74,10600,2024-04-04 23:20:34,2024-04-04,Abuja,Returning,473,1,1,True,Paid Search,Mobile,26.3,9,4,Laptop Stand,Electronics,2,30700.0,0,,1500.0,14.6,4,Wallet,61400.0,0.0,62900.0,Delivered,5.0,5.0
75,12711,2025-05-16 19:34:24,2025-05-16,Ibadan,New,37,1,0,True,Paid Search,Mobile,23.7,18,3,Water Bottle,Sports & Fitness,2,6900.0,0,,2200.0,31.4,4,Bank Transfer,13800.0,0.0,16000.0,Delivered,5.0,5.0
76,11020,2024-12-13 17:46:01,2024-12-13,Abuja,Returning,104,6,1,True,Referral,Mobile,22.4,10,3,T-Shirt,Fashion,1,11100.0,5,WEEKEND20,2100.0,28.8,3,Bank Transfer,11100.0,555.0,12645.0,Delivered,6.0,5.0
77,14272,2024-08-29 08:57:51,2024-08-29,Lagos,Returning,218,14,2,True,Referral,Desktop,16.8,10,3,Sneakers,Fashion,3,37300.0,10,SAVE5,2100.0,23.2,4,Bank Transfer,111900.0,11190.0,102810.0,Cancelled,,
78,11455,2024-06-14 20:53:51,2024-06-14,Enugu,Returning,101,9,1,True,Referral,Desktop,12.7,7,3,Running Shoes,Fashion,2,29100.0,15,MEGA30,1900.0,24.8,4,Card,58200.0,8730.0,51370.0,Delivered,3.0,4.0
79,13321,2025-02-16 15:35:09,2025-02-16,Port Harcourt,New,63,1,0,True,Affiliate,Mobile,18.5,11,1,Bluetooth Speaker,Electronics,1,31700.0,0,,1100.0,6.7,1,Wallet,31700.0,0.0,32800.0,Delivered,4.0,5.0
80,10947,2025-05-04 15:12:59,2025-05-04,Abuja,Returning,349,12,0,True,Paid Search,Desktop,7.8,8,4,Makeup Kit,Beauty & Personal Care,4,25000.0,10,SAVE5,2200.0,31.3,4,Card,100000.0,10000.0,92200.0,Delivered,7.0,4.0
81,11614,2025-11-18 08:43:47,2025-11-18,Lagos,Returning,369,14,1,True,Affiliate,Mobile,25.0,13,5,Electric Kettle,Home & Kitchen,3,16700.0,10,SAVE10,2000.0,20.6,4,Bank Transfer,50100.0,5010.0,47090.0,Delivered,7.0,5.0
82,10856,2024-11-15 13:23:35,2024-11-15,Ibadan,Returning,500,12,0,False,Social Media,Desktop,9.3,8,4,Smart Watch,Electronics,2,43900.0,15,SAVE5,2600.0,39.2,5,Card,87800.0,13170.0,77230.0,Delivered,8.0,5.0
83,12763,2024-04-27 11:06:47,2024-04-27,Benin City,Returning,124,5,0,True,Email,Desktop,9.9,11,5,Running Shoes,Fashion,4,26800.0,10,WEEKEND20,1100.0,7.3,3,Bank Transfer,107200.0,10720.0,97580.0,Delivered,2.0,5.0
84,10139,2025-08-31 16:30:21,2025-08-31,Ibadan,New,67,0,0,True,Organic,Mobile,14.1,8,3,Air Fryer,Home & Kitchen,3,59600.0,5,WEEKEND20,1800.0,21.9,5,Cash on Delivery,178800.0,8940.0,171660.0,Cancelled,,
85,10415,2025-04-05 08:35:05,2025-04-05,Benin City,New,27,1,0,True,Organic,Desktop,15.2,4,5,T-Shirt,Fashion,2,12000.0,10,SAVE10,1800.0,22.6,4,Card,24000.0,2400.0,23400.0,Cancelled,,
86,12508,2025-05-26 21:27:02,2025-05-26,Lagos,Returning,558,9,0,True,Social Media,Mobile,12.1,5,4,Water Bottle,Sports & Fitness,1,7500.0,10,SAVE10,1700.0,14.5,3,Card,7500.0,750.0,8450.0,Delivered,6.0,4.0
87,12729,2024-03-12 01:44:38,2024-03-12,Ilorin,New,73,0,0,True,Paid Search,Mobile,8.9,7,2,Storage Rack,Home & Kitchen,1,44600.0,10,WEEKEND20,1900.0,24.9,5,Bank Transfer,44600.0,4460.0,42040.0,Cancelled,,
88,11649,2024-08-16 08:09:36,2024-08-16,Lagos,VIP,693,24,1,True,Organic,Desktop,12.0,5,9,Football,Sports & Fitness,7,12800.0,0,,1300.0,5.7,3,Wallet,89600.0,0.0,90900.0,Delivered,4.0,4.0
89,12157,2025-07-15 07:03:12,2025-07-15,Lagos,VIP,800,35,4,True,Paid Search,Mobile,20.9,5,4,Wireless Earbuds,Electronics,3,19100.0,0,,1600.0,12.1,5,Bank Transfer,57300.0,0.0,58900.0,Delivered,8.0,5.0
90,12083,2025-08-31 09:09:56,2025-08-31,Port Harcourt,Returning,297,4,0,True,Paid Search,Mobile,8.5,3,5,Desk Lamp,Home & Kitchen,4,15300.0,10,WEEKEND20,1700.0,21.1,4,Bank Transfer,61200.0,6120.0,56780.0,Delivered,5.0,5.0
91,13790,2024-11-14 03:26:27,2024-11-14,Lagos,New,64,1,0,True,Affiliate,Tablet,18.2,13,5,Backpack,Fashion,2,29800.0,15,FLASH15,1600.0,12.8,3,Card,59600.0,8940.0,52260.0,Delivered,3.0,4.0
92,12233,2025-08-11 06:47:08,2025-08-11,Abuja,Returning,824,6,0,True,Organic,Mobile,17.7,9,3,Football,Sports & Fitness,2,12400.0,20,SAVE5,1600.0,17.3,4,Cash on Delivery,24800.0,4960.0,21440.0,Delivered,5.0,4.0
93,14240,2025-09-07 06:38:30,2025-09-07,Lagos,New,63,0,0,True,Organic,Mobile,4.1,5,2,Cookware Set,Home & Kitchen,1,71400.0,15,SAVE5,2600.0,35.1,5,Bank Transfer,71400.0,10710.0,63290.0,Refunded,,
94,11086,2024-10-10 05:55:14,2024-10-10,Kano,New,57,1,0,True,Social Media,Mobile,8.2,4,4,Blender,Home & Kitchen,1,31900.0,10,FLASH15,2300.0,32.7,5,Card,31900.0,3190.0,31010.0,Cancelled,,
95,10999,2025-10-18 12:02:56,2025-10-18,Kano,Returning,336,11,1,True,Paid Search,Mobile,10.2,8,2,Power Bank,Electronics,2,18600.0,15,SAVE10,2300.0,33.8,3,Cash on Delivery,37200.0,5580.0,33920.0,Delivered,6.0,3.0
96,12019,2024-07-29 18:25:41,2024-07-29,Ibadan,New,31,0,0,True,Paid Search,Mobile,4.6,7,4,Storage Rack,Home & Kitchen,3,40700.0,15,FLASH15,1300.0,10.3,4,Bank Transfer,122100.0,18315.0,105085.0,Cancelled,,
97,10408,2024-06-24 02:48:06,2024-06-24,Abuja,New,61,0,0,True,Organic,Mobile,26.6,11,3,Blender,Home & Kitchen,1,31300.0,5,SAVE10,1800.0,21.9,3,Bank Transfer,31300.0,1565.0,31535.0,Refunded,,
98,13356,2025-05-13 21:42:03,2025-05-13,Abuja,Returning,858,6,0,True,Social Media,Desktop,17.5,5,2,Sneakers,Fashion,1,44200.0,10,SAVE5,1800.0,22.2,4,Card,44200.0,4420.0,41580.0,Delivered,7.0,4.0
99,11953,2025-04-10 11:20:57,2025-04-10,Benin City,New,68,1,0,True,Social Media,Mobile,15.7,6,2,Skincare Set,Beauty & Personal Care,1,20900.0,10,SAVE5,2400.0,36.1,5,Cash on Delivery,20900.0,2090.0,21210.0,Cancelled,,
100,11832,2024-04-12 03:49:03,2024-04-12,Port Harcourt,Returning,170,2,0,True,Paid Search,Mobile,40.3,12,3,Backpack,Fashion,1,30900.0,0,,2200.0,31.9,5,Card,30900.0,0.0,33100.0,Cancelled,,
101,12671,2025-08-31 17:31:59,2025-08-31,Port Harcourt,New,2,1,0,True,Referral,Mobile,15.4,2,4,Air Fryer,Home & Kitchen,3,67000.0,15,FLASH15,1400.0,12.7,3,Cash on Delivery,201000.0,30150.0,172250.0,Delivered,6.0,4.0
102,10411,2024-05-26 03:11:22,2024-05-26,Lagos,Returning,415,9,2,True,Social Media,Desktop,2.6,4,2,Backpack,Fashion,2,37300.0,0,,1700.0,15.2,5,Wallet,74600.0,0.0,76300.0,Delivered,6.0,3.0
103,11885,2025-08-11 09:08:59,2025-08-11,Lagos,New,89,1,0,False,Organic,Mobile,11.0,9,6,Makeup Kit,Beauty & Personal Care,4,24900.0,0,,1900.0,17.8,3,Wallet,99600.0,0.0,101500.0,Delivered,5.0,5.0
104,14862,2024-01-06 09:09:49,2024-01-06,Abuja,New,2,0,0,True,Email,Mobile,43.2,7,4,Smart Watch,Electronics,2,45900.0,25,SAVE5,1700.0,21.1,4,Bank Transfer,91800.0,22950.0,70550.0,Delivered,6.0,4.0
105,13143,2025-08-05 11:48:22,2025-08-05,Kano,Returning,500,4,0,True,Organic,Mobile,35.6,8,3,Electric Kettle,Home & Kitchen,3,17300.0,0,,3000.0,49.7,4,Cash on Delivery,51900.0,0.0,54900.0,Cancelled,,
